dev_id,name,lat,long
hawk-013a4f,City Hall,-38.1474393,144.3576924
hawk-013a51,Myer South side,-38.14762,144.3622749
hawk-013a23,LaPorcheta,-38.1469395,144.3599357
hawk-013a25,,,
hawk-013a33,Ryrie/Moorabool Outside,-38.1489155,144.3584489
,,,
hawk-013a21,155 Mercer Foyer,-38.1458692,144.3581138
hawk-013a2a,,,
014d98,Barwon Valley Activity Centre - South Car Park entrance,-38.1691458,144.3511856
014ddb,st helens south end playground,-38.1220226,144.3591414
hawk-013a26,,,
hawk-013a22,Ryrie /Union Outside,-38.1496014,144.3608612
014db4,rippleside north end near gym,-38.1274401,144.3549584
hawk-013a2c,Ryrie /Union Inside,-38.1496014,144.3608612
014daa,Barwon Valley Activity Centre - Entrance,-38.1687756,144.3512498
hawk-013a1f,Botanical Gardens - Heritage gate,-38.1493122,144.3770579
014dc6,Little Malop and James - CCTV/wifi cabinet,-38.1479277,144.3588385
hawk-013a20,Busport Project office,-38.1447631,144.3595969
014de9,"High Street , Belmont wifi/cctv cabinet",-38.1746141,144.3430678
014d9b,smart node 7,-38.1469338,144.3711246
014db9,,,
014de5,smart node 2,-38.1430798,144.361831
014ddd,smart node 6,-38.1467049,144.3683997
014dbe,St Albans reserve rotunda,-38.1861465,144.3938752
hawk-013a2e,Civic Cark Park entrance CCTV cabinet,-38.1468119,144.3588074
014dd1,,,
014d9e,Botanical Gardens - conservatory entrance,-38.1494367,144.3774611
hawk-013a31,Geelong Library,-38.1470072,144.3565397
hawk-013a1e,Malop and Yarra - NE cnr,-38.147906,144.363372
hawk-013a2b,,,
014d96,,,
014d9a,Barwon Valley Activity Centre - Basketball Courts,-38.1687411,144.3510241
014da9,smart node 3,-38.1439919,144.3637687
hawk-013a52,,,
014dc7,,,
014dcd,deakin brougham st car/busport,-38.1446587,144.3592925
